sona,age,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Q11_16,Q11_17,Q11_18,Q11_19,Q11_20,Q11_21,Q11_22,Q11_23,Q11_24,Q11_25,Q11_26,Q11_27,Q11_28,Q11_29,Q11_30,Q11_31,Q11_32,Q11_33,Q11_34,Q11_35,Q11_36,Q11_37,Q11_38,Q11_39,Q11_40,Q11_41,Q11_42,Q11_43,Q11_44,Q11_45,Q11_46
20699,39,3,4,3,4,5,3,4,4,2,4,4,4,2,2,2,3,2,4,4,3,3,4,4,1,2,4,1,3,4,4,3,3,1,1,2,3,4,3,4,3,1,3,3,1,1,3
20828,19,1,5,1,4,2,1,1,1,3,1,1,1,4,5,4,2,3,4,4,1,2,4,5,4,4,4,3,1,4,5,1,1,1,1,4,4,5,4,1,1,4,1,1,1,3,1
20854,19,1,5,1,3,1,1,1,1,3,1,1,1,3,5,3,4,4,3,4,1,2,3,5,3,3,3,3,1,3,4,1,1,2,1,3,3,4,3,1,1,3,1,1,1,1,1
20699,39,3,5,2,3,4,3,3,3,1,3,3,3,2,3,2,3,3,2,4,4,3,3,5,3,3,4,3,2,3,3,3,3,1,1,2,3,3,3,3,3,3,3,2,3,2,3
20728,19,2,5,1,2,1,2,2,1,2,1,2,2,2,4,4,2,4,3,4,2,2,3,4,2,4,2,2,1,4,4,2,2,1,2,4,4,4,4,2,2,4,2,1,1,4,2
21585,19,2,5,1,3,2,2,1,1,1,2,3,2,2,4,4,3,3,1,2,3,2,3,5,2,3,2,2,2,3,4,1,2,1,1,2,3,4,2,2,2,2,1,3,1,1,1
20736,20,1,5,1,4,3,2,2,2,2,1,2,2,3,4,2,3,4,4,4,2,2,4,4,2,2,4,2,2,4,4,1,2,2,2,3,4,4,4,2,2,3,2,2,1,3,3
17171,24,1,5,1,4,1,1,1,1,4,1,1,1,3,5,4,3,3,4,5,1,5,5,5,4,4,5,4,2,5,5,1,2,2,1,4,5,4,4,2,1,4,1,1,1,3,3
21485,18,1,5,1,2,2,1,1,1,2,1,1,1,3,5,4,3,4,4,4,2,2,4,4,2,3,3,2,1,4,4,2,2,1,2,4,4,4,3,1,1,2,2,2,2,4,2
20829,20,1,5,1,2,2,2,1,1,3,1,1,1,2,1,3,2,3,3,4,2,4,3,5,3,3,3,1,1,2,4,2,2,1,1,4,4,4,4,1,1,3,2,2,1,1,2
20909,53,2,5,1,3,2,2,2,1,4,1,2,3,3,4,2,3,3,4,4,3,3,4,4,3,4,3,3,2,3,4,2,2,1,1,3,3,4,3,2,2,3,2,2,1,4,3
20712,21,1,4,1,2,1,1,2,1,3,1,1,1,2,5,4,2,4,4,5,2,4,4,5,1,4,2,2,1,2,4,1,2,1,1,4,4,4,4,4,2,4,2,2,1,3,3
20894,20,1,5,2,4,1,1,1,1,3,1,2,1,2,5,3,3,4,4,4,2,2,5,5,3,4,5,2,1,4,4,1,1,3,1,2,4,4,4,1,1,3,1,1,2,2,2
21386,20,1,4,1,3,4,1,2,2,3,2,3,2,3,4,2,2,3,3,3,2,4,3,4,3,3,3,2,2,3,3,1,2,4,2,3,3,3,2,2,2,3,2,3,2,2,2
20743,21,3,4,2,4,2,1,2,2,3,2,2,2,4,5,3,2,4,4,5,2,2,4,4,2,4,4,3,2,5,4,3,2,2,2,3,3,4,4,2,2,3,2,2,2,2,2
20714,19,2,5,1,3,1,2,1,1,2,1,1,1,2,1,1,2,4,4,3,2,2,3,4,3,4,4,1,1,5,4,1,2,1,1,2,4,5,4,1,2,5,1,2,1,1,2
20865,19,1,5,1,3,2,1,1,1,3,2,2,1,3,4,3,3,4,4,4,1,3,4,5,3,4,4,3,1,4,4,1,1,2,1,3,3,4,4,1,1,3,1,2,1,3,1
20855,19,2,4,2,3,2,2,3,3,2,1,2,1,1,4,3,3,4,3,4,2,2,2,4,3,3,3,3,2,3,3,1,2,1,2,4,3,3,1,2,2,3,1,2,1,2,2
20618,46,1,5,1,3,2,2,1,1,4,2,2,2,2,4,2,3,4,3,4,3,2,4,5,3,3,4,2,2,4,4,2,2,1,2,3,5,4,4,2,2,4,2,2,2,4,3
20837,20,2,4,2,3,4,1,1,1,4,1,1,1,2,1,2,1,1,1,4,2,3,3,3,3,3,3,2,3,3,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2
20839,19,2,5,3,4,2,3,1,1,1,3,3,1,1,4,3,2,4,4,4,4,2,4,4,3,4,4,3,2,4,4,2,3,2,4,4,4,5,3,2,3,3,2,3,2,2,3
21415,18,1,5,5,4,2,1,1,1,3,1,2,1,4,5,4,2,5,5,5,1,2,4,5,3,5,4,2,1,4,4,2,3,1,2,2,4,4,4,1,1,4,1,5,1,1,3
21416,19,1,4,1,3,2,1,1,1,3,1,2,1,3,4,3,3,3,4,4,2,3,3,4,3,4,3,3,2,3,4,1,2,1,1,3,3,4,3,1,1,2,2,2,1,3,2
20808,21,2,5,1,3,2,2,1,1,2,1,2,1,2,5,3,3,4,5,4,4,2,2,4,2,4,2,2,1,2,4,1,2,4,1,3,4,4,3,1,1,2,1,1,1,1,4
21429,22,1,5,1,3,1,1,1,1,4,1,1,1,4,4,3,3,4,3,4,1,1,4,4,3,4,4,4,1,4,4,1,1,2,1,4,4,4,4,1,1,4,2,1,1,4,3
20872,19,2,4,1,4,2,2,1,1,2,1,2,1,2,5,3,3,4,4,2,3,2,2,5,2,4,2,2,2,2,3,2,4,2,1,2,2,4,2,2,2,2,2,3,2,2,2
20621,19,2,5,1,2,3,2,1,1,3,1,1,1,3,5,2,3,3,4,4,2,2,4,3,3,4,4,4,1,4,4,2,1,2,2,4,4,5,4,1,1,4,1,2,2,4,2
20859,31,1,4,1,3,1,1,1,1,3,1,1,1,3,5,4,2,5,3,5,2,3,5,5,1,3,5,3,1,5,5,1,1,1,1,3,5,5,5,1,1,4,1,1,1,1,2
21456,18,1,4,1,3,1,2,1,1,2,2,1,1,2,1,3,2,4,4,4,2,2,4,5,2,3,3,2,1,4,4,2,1,2,1,3,2,4,4,1,1,2,1,1,1,2,3
20867,20,3,5,1,2,1,1,1,2,2,2,1,4,5,2,2,3,5,2,4,4,4,5,5,3,2,5,5,3,5,5,2,1,2,1,5,5,5,5,1,1,5,3,2,1,3,2
20619,20,1,5,1,4,1,1,1,1,3,1,1,1,1,3,3,3,4,3,2,3,2,3,4,3,4,3,3,1,3,4,3,1,4,1,4,3,4,2,1,1,2,3,2,1,3,3
20797,19,1,5,1,2,1,1,2,1,4,1,1,1,2,5,3,4,3,4,4,2,2,2,4,3,4,2,2,2,3,4,1,2,1,2,3,3,3,4,2,2,3,3,2,2,2,2
