prolific,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10
5c72a12c2dfbdb0001b94c01,2,4,1,4,1,3,5,5,5,4
57cc61d2f734660001106261,2,1,1,1,1,1,3,4,4,1
5cca046762ae0a0017af035e,2,2,1,2,2,2,4,4,2,2
5c18e589d66c940001f97e81,4,2,1,1,1,1,1,1,3,4
5b9ffe473c79df000159cd8c,5,2,1,2,1,2,5,3,4,2
5c45ca39d01d7a0001064c69,4,2,1,2,3,2,3,3,3,2
5c39f0c686c1450001a983c4,4,2,1,1,2,2,3,2,2,2
5c94a2dc71fed300143f31f6,1,1,1,1,1,1,4,4,4,1
5cdc3b2ca63838001962bbd9,1,2,1,2,1,2,3,2,2,2
55da0d9369dbc30005b684c3,2,4,2,3,2,2,4,3,3,3
5a99c0e3b5e2110001c6c18a,2,3,1,3,2,2,3,3,3,2
594b8f21890ed60001ead0a3,2,2,3,2,2,3,3,4,4,3
5c336b366f160f0001348481,3,3,1,3,2,2,3,2,2,3
56158fc67ffc8a0012812589,1,1,1,1,1,1,5,5,5,1
5ca9208f67451a0016303f9f,2,2,1,2,1,1,4,4,4,2
5c2e6e0323477600011a5297,2,3,2,3,2,3,3,4,3,3
5c9bfe723f93e700122a0ed2,2,2,2,2,2,2,4,2,2,2
5cae0ac17a7c8100180bb031,4,4,1,2,4,4,2,1,1,2
5bc9ed7f3d893f0001bee4b6,2,1,1,1,1,1,4,5,4,2
5d13ca33ac3e9b00013413de,2,4,1,4,1,4,3,2,2,3
589f4cdd890ea500014c4d85,4,5,4,5,3,5,2,1,1,5
592473314c4d6500016a1753,2,3,1,2,2,4,2,1,2,3
598d76488380cc00012a3a64,1,1,1,1,1,1,5,5,5,1
5cf63477201b8000190c966f,2,1,1,2,1,1,2,1,1,1
5be1731ca706240001b09380,4,2,1,3,2,3,3,1,3,2
5cf66bc34d407d001875218b,2,4,1,1,1,1,3,5,4,2
5d0b57b71c9a4e001a11dc6e,1,2,1,1,1,2,1,1,1,2
5cdc0244b528080017baad6a,2,2,1,3,2,2,3,4,2,2
5c2b4f35099b880001cb2d72,4,2,2,2,2,2,4,3,4,2
577406bdb425c400014343c,2,3,1,1,1,1,3,1,2,5
5c6e7ad5f4c22800015501f5,3,2,2,4,1,2,4,4,4,2
5aa8e2c6873cda00012d1f15,4,3,3,3,4,4,3,3,4,3
5cc39b3f8c322e00019136d9,1,1,1,1,1,1,5,4,5,1
5c7fd357cc6a9c001453d24c,2,1,1,1,1,1,3,5,4,1
5c2b830559ce110001071c48,2,3,1,1,1,1,3,4,4,1
59d37f6323b3e500018f5401,1,2,1,2,1,3,4,3,2,1
5c609050808997000178ad7a,2,2,1,2,1,1,3,4,4,2
5beef8baaf11020001a4ffc7,2,1,1,2,1,1,4,4,4,1
5af49a481b55800001f495bb,1,1,1,2,1,1,1,1,1,1
5af49a481b55800001f495bb,1,1,3,1,1,1,3,1,2,1
5c6fd0be04b76500015f9db9,1,1,1,1,1,1,5,5,4,1
5cf96e66639ea900011650bb,3,2,4,3,3,2,3,3,3,3
